
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-06-13 17:21:48 /admin/dashboard ......................................................................... ~ 3s
  2026-06-13 17:21:48 /css/admin.css ........................................................................... ~ 3s
  2026-06-13 17:21:50 /favicon.ico ............................................................................. ~ 1s
  2026-06-13 17:21:58 /admin/products ...................................................................... ~ 1.18ms
  2026-06-13 17:21:58 /css/admin.css ....................................................................... ~ 0.75ms
  2026-06-13 17:21:58 /favicon.ico ........................................................................ ~ 23.14ms
  2026-06-13 17:22:12 /admin/orders ........................................................................ ~ 0.55ms
  2026-06-13 17:22:13 /css/admin.css ....................................................................... ~ 0.85ms
  2026-06-13 17:22:13 /favicon.ico ....................................................................... ~ 522.92ms
  2026-06-13 17:22:14 /admin/categories .................................................................... ~ 0.55ms
  2026-06-13 17:22:14 /css/admin.css ....................................................................... ~ 0.52ms
  2026-06-13 17:22:14 /favicon.ico ....................................................................... ~ 519.01ms
  2026-06-13 17:23:45 / .................................................................................... ~ 0.53ms
  2026-06-13 17:23:45 /favicon.ico ............................................................................. ~ 1s
  2026-06-13 17:23:46 /admin/dashboard ........................................................................ ~ 10s
  2026-06-13 17:23:55 /css/admin.css ....................................................................... ~ 0.41ms
  2026-06-13 17:23:56 /favicon.ico ....................................................................... ~ 514.76ms
  2026-06-13 17:23:57 /admin/products .......................................................................... ~ 4s
  2026-06-13 17:24:01 /css/admin.css ....................................................................... ~ 0.76ms
  2026-06-13 17:24:01 /favicon.ico ......................................................................... ~ 2.74ms
  2026-06-13 17:24:01 /admin/products ......................................................................... ~ 17s
  2026-06-13 17:24:19 /css/admin.css ....................................................................... ~ 0.69ms
  2026-06-13 17:24:19 /favicon.ico ......................................................................... ~ 2.49ms
  2026-06-13 17:24:19 /admin/categories ........................................................................ ~ 2s
  2026-06-13 17:24:21 /css/admin.css ....................................................................... ~ 0.52ms
  2026-06-13 17:24:21 /favicon.ico ......................................................................... ~ 0.43ms
  2026-06-13 17:24:22 .......................................................................................... ~ 2s
